Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28b Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|P47755|CAZA2_HUMAN,F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3,CAPZA2,1.4040E+6,1.5340E+6,1.6014E+6
sp|P48728|GCST_HUMAN,"Aminomethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=AMT PE=1 SV=1",AMT,2.5188E+4,8.5977E+4,4.0123E+4
sp|P61978|HNRPK_HUMAN,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,HNRNPK,5.5064E+4,5.9934E+4,6.9955E+4
sp|P78539|SRPX_HUMAN,Sushi repeat-containing protein SRPX OS=Homo sapiens OX=9606 GN=SRPX PE=1 SV=1,SRPX,9.1180E+4,7.6145E+4,9.4694E+4
sp|Q3ZCQ8|TIM50_HUMAN,Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens OX=9606 GN=TIMM50 PE=1 SV=2,TIMM50,2.4847E+5,2.2107E+5,2.3984E+5
sp|Q58A45|PAN3_HUMAN,PAN2-PAN3 deadenylation complex subunit PAN3 OS=Homo sapiens OX=9606 GN=PAN3 PE=1 SV=3,PAN3,3.8120E+3,4.5707E+3,#N/A
sp|Q5VT25|MRCKA_HUMAN,Serine/threonine-protein kinase MRCK alpha OS=Homo sapiens OX=9606 GN=CDC42BPA PE=1 SV=1,CDC42BPA,7.7447E+4,6.3799E+5,7.6634E+4
sp|Q6ZRP7|QSOX2_HUMAN,Sulfhydryl oxidase 2 OS=Homo sapiens OX=9606 GN=QSOX2 PE=1 SV=3,QSOX2,6.0731E+4,7.0450E+4,6.2688E+4
sp|Q8NC44|RETR2_HUMAN,Reticulophagy regulator 2 OS=Homo sapiens OX=9606 GN=RETREG2 PE=1 SV=3,RETREG2,1.6943E+4,2.3235E+4,9.3010E+3
sp|Q8NCN5|PDPR_HUMAN,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial OS=Homo sapiens OX=9606 GN=PDPR PE=1 SV=2",PDPR,9.5518E+4,1.0871E+5,8.3232E+4
sp|Q8NE65|ZN738_HUMAN,Zinc finger protein 738 OS=Homo sapiens OX=9606 GN=ZNF738 PE=1 SV=2,ZNF738,#N/A,#N/A,#N/A
sp|Q8WUD1|RAB2B_HUMAN,Ras-related protein Rab-2B OS=Homo sapiens OX=9606 GN=RAB2B PE=1 SV=1,RAB2B,2.5362E+5,3.0496E+5,3.0099E+5
sp|Q92496|FHR4_HUMAN,Complement factor H-related protein 4 OS=Homo sapiens OX=9606 GN=CFHR4 PE=1 SV=3,CFHR4,4.9548E+6,5.0415E+6,5.0904E+6
sp|Q92823|NRCAM_HUMAN,Neuronal cell adhesion molecule OS=Homo sapiens OX=9606 GN=NRCAM PE=1 SV=3,NRCAM,4.2942E+5,2.8161E+5,2.7334E+5
sp|Q9GZT8|NIF3L_HUMAN,NIF3-like protein 1 OS=Homo sapiens OX=9606 GN=NIF3L1 PE=1 SV=2,NIF3L1,2.2870E+5,1.3643E+5,1.5218E+5
sp|Q9H1Z8|AUGN_HUMAN,Augurin OS=Homo sapiens OX=9606 GN=ECRG4 PE=1 SV=1,ECRG4,5.9619E+3,1.0266E+4,7.1371E+3
sp|Q9UBB4|ATX10_HUMAN,Ataxin-10 OS=Homo sapiens OX=9606 GN=ATXN10 PE=1 SV=1,ATXN10,9.7701E+4,1.2905E+5,9.0746E+4
sp|Q9UKF7|PITC1_HUMAN,Cytoplasmic phosphatidylinositol transfer protein 1 OS=Homo sapiens OX=9606 GN=PITPNC1 PE=1 SV=3,PITPNC1,9.1182E+4,1.0012E+5,1.2034E+5
sp|Q9UPU5|UBP24_HUMAN,Ubiquitin carboxyl-terminal hydrolase 24 OS=Homo sapiens OX=9606 GN=USP24 PE=1 SV=3,USP24,3.6952E+5,3.7399E+5,3.6350E+5
sp|Q9Y3D7|TIM16_HUMAN,Mitochondrial import inner membrane translocase subunit TIM16 OS=Homo sapiens OX=9606 GN=PAM16 PE=1 SV=2,PAM16,3.0768E+4,3.2565E+4,3.3292E+4
sp|A4UGR9|XIRP2_HUMAN,Xin actin-binding repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=XIRP2 PE=1 SV=2,XIRP2,1.7554E+4,4.1585E+4,3.5085E+4
sp|O95861|BPNT1_HUMAN,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1",BPNT1,3.4559E+5,1.6954E+5,1.3563E+5
sp|P08697|A2AP_HUMAN,Alpha-2-antiplasmin OS=Homo sapiens OX=9606 GN=SERPINF2 PE=1 SV=3,SERPINF2,1.1256E+7,1.0718E+7,1.1595E+7
sp|P10144|GRAB_HUMAN,Granzyme B OS=Homo sapiens OX=9606 GN=GZMB PE=1 SV=2,GZMB,1.7109E+5,2.0538E+5,2.2048E+5
sp|P12273|PIP_HUMAN,Prolactin-inducible protein OS=Homo sapiens OX=9606 GN=PIP PE=1 SV=1,PIP,3.2339E+4,3.3313E+4,3.7034E+4
sp|P19827|ITIH1_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3,ITIH1,4.9174E+9,5.0190E+9,4.9382E+9
sp|P31930|QCR1_HUMAN,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",UQCRC1,2.3810E+6,2.4896E+6,2.3746E+6
sp|P32004|L1CAM_HUMAN,Neural cell adhesion molecule L1 OS=Homo sapiens OX=9606 GN=L1CAM PE=1 SV=2,L1CAM,6.3878E+5,6.4797E+5,6.3413E+5
sp|P40429|RL13A_HUMAN,Large ribosomal subunit protein uL13 OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,RPL13A,#N/A,4.2989E+3,#N/A
sp|P42345|MTOR_HUMAN,Serine/threonine-protein kinase mTOR OS=Homo sapiens OX=9606 GN=MTOR PE=1 SV=1,MTOR,2.2081E+4,4.0213E+4,5.6084E+4
sp|P56378|ATP68_HUMAN,"ATP synthase subunit ATP5MJ, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MJ PE=1 SV=1",ATP5MJ,1.9491E+5,1.1620E+5,1.8467E+5
sp|Q12794|HYAL1_HUMAN,Hyaluronidase-1 OS=Homo sapiens OX=9606 GN=HYAL1 PE=1 SV=2,HYAL1,9.2647E+3,#N/A,#N/A
sp|Q13011|ECH1_HUMAN,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens OX=9606 GN=ECH1 PE=1 SV=2",ECH1,2.1948E+6,2.4062E+6,2.3363E+6
sp|Q13084|RM28_HUMAN,Large ribosomal subunit protein bL28m OS=Homo sapiens OX=9606 GN=MRPL28 PE=1 SV=4,MRPL28,9.5997E+3,1.3462E+4,1.1209E+4
sp|Q13619|CUL4A_HUMAN,Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3,CUL4A,1.8776E+4,1.5245E+5,2.5400E+5
sp|Q14994|NR1I3_HUMAN,Nuclear receptor subfamily 1 group I member 3 OS=Homo sapiens OX=9606 GN=NR1I3 PE=1 SV=2,NR1I3,#N/A,4.7661E+4,#N/A
sp|Q15436|SC23A_HUMAN,Protein transport protein Sec23A OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=2,SEC23A,3.7540E+5,3.2864E+5,3.3160E+5
sp|Q5K4L6|S27A3_HUMAN,Long-chain fatty acid transport protein 3 OS=Homo sapiens OX=9606 GN=SLC27A3 PE=1 SV=4,SLC27A3,7.2649E+4,7.3945E+4,6.6853E+4
sp|Q5TAX3|TUT4_HUMAN,Terminal uridylyltransferase 4 OS=Homo sapiens OX=9606 GN=TUT4 PE=1 SV=3,TUT4,2.0021E+4,1.6877E+4,2.0139E+4
sp|Q8TEQ0|SNX29_HUMAN,Sorting nexin-29 OS=Homo sapiens OX=9606 GN=SNX29 PE=1 SV=3,SNX29,8.5274E+4,1.0200E+5,1.1124E+5
sp|Q8WUM4|PDC6I_HUMAN,Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1,PDCD6IP,2.9662E+6,2.9210E+6,3.2084E+6
sp|Q96D31|ORAI1_HUMAN,Calcium release-activated calcium channel protein 1 OS=Homo sapiens OX=9606 GN=ORAI1 PE=1 SV=2,ORAI1,5.2323E+4,3.8746E+4,4.9073E+4
sp|Q9BVL4|SELO_HUMAN,"Protein adenylyltransferase SelO, mitochondrial OS=Homo sapiens OX=9606 GN=SELENOO PE=1 SV=3",SELENOO,3.7487E+4,2.5602E+4,3.4023E+4
sp|Q9BYC8|RM32_HUMAN,Large ribosomal subunit protein bL32m OS=Homo sapiens OX=9606 GN=MRPL32 PE=1 SV=1,MRPL32,#N/A,5.9574E+3,7.3895E+3
sp|Q9BYD6|RM01_HUMAN,Large ribosomal subunit protein uL1m OS=Homo sapiens OX=9606 GN=MRPL1 PE=1 SV=2,MRPL1,4.9964E+4,6.0473E+4,4.3845E+4
sp|Q9NQA3|WASH6_HUMAN,WAS protein family homolog 6 OS=Homo sapiens OX=9606 GN=WASH6P PE=1 SV=3,WASH6P,5.2289E+4,5.1920E+4,4.3561E+4
sp|Q9NR19|ACSA_HUMAN,"Acetyl-coenzyme A synthetase, cytoplasmic OS=Homo sapiens OX=9606 GN=ACSS2 PE=1 SV=1",ACSS2,2.2227E+5,1.9527E+5,1.8834E+5
sp|Q9NRA2|S17A5_HUMAN,Sialin OS=Homo sapiens OX=9606 GN=SLC17A5 PE=1 SV=2,SLC17A5,9.0635E+4,1.8391E+4,7.8297E+4
sp|Q9NYR9|KBRS2_HUMAN,NF-kappa-B inhibitor-interacting Ras-like protein 2 OS=Homo sapiens OX=9606 GN=NKIRAS2 PE=1 SV=1,NKIRAS2,1.4272E+4,1.5209E+4,1.3387E+4
sp|Q9UJS0|S2513_HUMAN,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A13 PE=1 SV=2",SLC25A13,1.9475E+5,3.4919E+5,2.0770E+5
sp|Q9ULV4|COR1C_HUMAN,Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1,CORO1C,9.2102E+6,9.4284E+6,9.1064E+6
sp|Q9Y6D5|BIG2_HUMAN,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,ARFGEF2,2.7913E+5,3.6693E+5,2.1973E+5
sp|O14772|FPGT_HUMAN,Fucose-1-phosphate guanylyltransferase OS=Homo sapiens OX=9606 GN=FPGT PE=1 SV=3,FPGT,7.9846E+4,7.2069E+4,3.7495E+4
sp|O15031|PLXB2_HUMAN,Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3,PLXNB2,1.3710E+6,1.2972E+6,1.6310E+6
sp|O75608|LYPA1_HUMAN,Acyl-protein thioesterase 1 OS=Homo sapiens OX=9606 GN=LYPLA1 PE=1 SV=1,LYPLA1,1.1500E+6,1.2796E+6,1.1232E+6
sp|O94915|FRYL_HUMAN,Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2,FRYL,6.3100E+4,1.1618E+5,1.3661E+5
sp|P00488|F13A_HUMAN,Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=5,F13A1,6.4091E+7,6.5701E+7,6.5732E+7
sp|P11597|CETP_HUMAN,Cholesteryl ester transfer protein OS=Homo sapiens OX=9606 GN=CETP PE=1 SV=2,CETP,6.4087E+6,6.3427E+6,6.2116E+6
sp|P16035|TIMP2_HUMAN,Metalloproteinase inhibitor 2 OS=Homo sapiens OX=9606 GN=TIMP2 PE=1 SV=2,TIMP2,#N/A,#N/A,#N/A
sp|P35613|BASI_HUMAN,Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2,BSG,1.5020E+6,1.5895E+6,1.5710E+6
sp|P50991|TCPD_HUMAN,T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,CCT4,3.1560E+6,4.0614E+6,3.2660E+6
sp|Q02790|FKBP4_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3,FKBP4,9.6809E+4,8.5116E+4,9.6402E+4
sp|Q13867|BLMH_HUMAN,Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1,BLMH,2.8176E+5,3.6017E+5,3.0597E+5
sp|Q14457|BECN1_HUMAN,Beclin-1 OS=Homo sapiens OX=9606 GN=BECN1 PE=1 SV=2,BECN1,8.7964E+4,1.0748E+5,9.4161E+4
sp|Q5VWJ9|SNX30_HUMAN,Sorting nexin-30 OS=Homo sapiens OX=9606 GN=SNX30 PE=1 SV=1,SNX30,3.8982E+6,2.4086E+6,2.0729E+6
sp|Q6XQN6|PNCB_HUMAN,Nicotinate phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAPRT PE=1 SV=2,NAPRT,1.2681E+6,1.3407E+6,1.2590E+6
sp|Q8TF74|WIPF2_HUMAN,WAS/WASL-interacting protein family member 2 OS=Homo sapiens OX=9606 GN=WIPF2 PE=1 SV=1,WIPF2,#N/A,5.0775E+3,#N/A
sp|Q9BSF0|SMAKA_HUMAN,Small membrane A-kinase anchor protein OS=Homo sapiens OX=9606 GN=C2orf88 PE=1 SV=2,C2orf88,1.8330E+5,1.7640E+5,1.4576E+5
sp|Q9BWD1|THIC_HUMAN,"Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2 PE=1 SV=2",ACAT2,5.0204E+5,5.2727E+5,5.1524E+5
sp|Q9BXJ9|NAA15_HUMAN,"N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1",NAA15,7.0321E+4,1.0242E+5,6.8788E+4
sp|Q9H7B4|SMYD3_HUMAN,Histone-lysine N-methyltransferase SMYD3 OS=Homo sapiens OX=9606 GN=SMYD3 PE=1 SV=4,SMYD3,9.2115E+4,1.3261E+5,1.0113E+5
sp|Q9NP81|SYSM_HUMAN,"Serine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=SARS2 PE=1 SV=1",SARS2,1.5428E+5,1.6077E+5,1.2390E+5
sp|Q9NQC7|CYLD_HUMAN,Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens OX=9606 GN=CYLD PE=1 SV=1,CYLD,5.9910E+4,4.4167E+4,6.0105E+4
sp|Q9NRB3|CHSTC_HUMAN,Carbohydrate sulfotransferase 12 OS=Homo sapiens OX=9606 GN=CHST12 PE=1 SV=2,CHST12,1.7871E+5,1.6135E+5,1.5920E+5
sp|Q9NX01|TXN4B_HUMAN,Thioredoxin-like protein 4B OS=Homo sapiens OX=9606 GN=TXNL4B PE=1 SV=1,TXNL4B,1.5145E+4,6.7543E+3,7.9817E+3
sp|Q9Y217|MTMR6_HUMAN,"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR6 OS=Homo sapiens OX=9606 GN=MTMR6 PE=1 SV=3",MTMR6,1.8790E+4,1.7293E+4,2.3559E+4
sp|O75348|VATG1_HUMAN,V-type proton ATPase subunit G 1 OS=Homo sapiens OX=9606 GN=ATP6V1G1 PE=1 SV=3,ATP6V1G1,1.8962E+5,1.8064E+5,2.2335E+5
sp|P04083|ANXA1_HUMAN,Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2,ANXA1,1.0431E+5,1.1711E+5,9.9156E+4
sp|P07357|CO8A_HUMAN,Complement component C8 alpha chain OS=Homo sapiens OX=9606 GN=C8A PE=1 SV=2,C8A,3.1890E+6,3.2702E+6,3.3436E+6
sp|P10155|RO60_HUMAN,RNA-binding protein RO60 OS=Homo sapiens OX=9606 GN=RO60 PE=1 SV=2,RO60,4.6261E+5,5.3988E+5,5.0522E+5
sp|P30046|DOPD_HUMAN,D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3,DDT,4.7732E+5,4.6787E+5,4.7465E+5
sp|P31639|SC5A2_HUMAN,Sodium/glucose cotransporter 2 OS=Homo sapiens OX=9606 GN=SLC5A2 PE=1 SV=1,SLC5A2,4.2452E+4,#N/A,2.9194E+4
sp|P39023|RL3_HUMAN,Large ribosomal subunit protein uL3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,RPL3,#N/A,4.6777E+3,6.5209E+3
sp|P48061|SDF1_HUMAN,Stromal cell-derived factor 1 OS=Homo sapiens OX=9606 GN=CXCL12 PE=1 SV=1,CXCL12,5.1678E+4,5.5224E+4,6.1902E+4
sp|P49257|LMAN1_HUMAN,Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2,LMAN1,9.3488E+5,7.7730E+5,8.9561E+5
sp|P52824|DGKQ_HUMAN,Diacylglycerol kinase theta OS=Homo sapiens OX=9606 GN=DGKQ PE=1 SV=2,DGKQ,5.2825E+4,#N/A,6.5021E+4
sp|P56182|RRP1_HUMAN,Ribosomal RNA processing protein 1 homolog A OS=Homo sapiens OX=9606 GN=RRP1 PE=1 SV=1,RRP1,5.9084E+3,#N/A,8.0597E+3
sp|Q86Y38|XYLT1_HUMAN,Xylosyltransferase 1 OS=Homo sapiens OX=9606 GN=XYLT1 PE=1 SV=1,XYLT1,6.4600E+3,1.0822E+4,1.2320E+4
sp|Q8IZR5|CKLF4_HUMAN,CKLF-like MARVEL transmembrane domain-containing protein 4 OS=Homo sapiens OX=9606 GN=CMTM4 PE=1 SV=1,CMTM4,7.0977E+3,6.5988E+3,7.3190E+3
sp|Q8N9B5|JMY_HUMAN,Junction-mediating and -regulatory protein OS=Homo sapiens OX=9606 GN=JMY PE=1 SV=2,JMY,4.1665E+3,5.7210E+3,6.6316E+3
sp|Q96EY1|DNJA3_HUMAN,"DnaJ homolog subfamily A member 3, mitochondrial OS=Homo sapiens OX=9606 GN=DNAJA3 PE=1 SV=2",DNAJA3,1.3175E+4,4.4178E+4,2.4113E+4
sp|Q9BWP8|COL11_HUMAN,Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1,COLEC11,1.2764E+7,1.2517E+7,1.2953E+7
sp|Q9GZY6|NTAL_HUMAN,Linker for activation of T-cells family member 2 OS=Homo sapiens OX=9606 GN=LAT2 PE=1 SV=1,LAT2,1.1649E+5,1.3126E+5,1.1456E+5
sp|Q9Y5P6|GMPPB_HUMAN,Mannose-1-phosphate guanylyltransferase catalytic subunit beta OS=Homo sapiens OX=9606 GN=GMPPB PE=1 SV=2,GMPPB,6.3952E+5,7.2213E+5,7.4121E+5
sp|P20160|CAP7_HUMAN,Azurocidin OS=Homo sapiens OX=9606 GN=AZU1 PE=1 SV=3,AZU1,2.6490E+4,2.6938E+4,5.9886E+4
sp|P23786|CPT2_HUMAN,"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens OX=9606 GN=CPT2 PE=1 SV=2",CPT2,7.4415E+5,6.8505E+5,7.8994E+5
sp|P26641|EF1G_HUMAN,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,EEF1G,4.6284E+6,5.0729E+6,4.7430E+6
sp|P48730|KC1D_HUMAN,Casein kinase I isoform delta OS=Homo sapiens OX=9606 GN=CSNK1D PE=1 SV=2,CSNK1D,2.4939E+4,2.3856E+4,2.2102E+4
sp|P49411|EFTU_HUMAN,"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=3",TUFM,2.4529E+6,2.4885E+6,2.6033E+6
sp|P51648|AL3A2_HUMAN,Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1,ALDH3A2,7.5512E+4,9.7705E+4,7.7146E+4
sp|P51649|SSDH_HUMAN,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH5A1 PE=1 SV=2",ALDH5A1,1.2557E+5,1.0019E+5,1.0720E+5
sp|P78318|IGBP1_HUMAN,Immunoglobulin-binding protein 1 OS=Homo sapiens OX=9606 GN=IGBP1 PE=1 SV=1,IGBP1,8.0579E+4,6.0783E+4,3.6408E+4
sp|Q06033|ITIH3_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2,ITIH3,5.6775E+8,6.0184E+8,5.7624E+8
sp|Q0VF96|CGNL1_HUMAN,Cingulin-like protein 1 OS=Homo sapiens OX=9606 GN=CGNL1 PE=1 SV=2,CGNL1,#N/A,#N/A,#N/A
sp|Q16798|MAON_HUMAN,"NADP-dependent malic enzyme, mitochondrial OS=Homo sapiens OX=9606 GN=ME3 PE=1 SV=2",ME3,1.7016E+3,2.0590E+3,2.7020E+3
sp|Q2M389|WASC4_HUMAN,WASH complex subunit 4 OS=Homo sapiens OX=9606 GN=WASHC4 PE=1 SV=2,WASHC4,8.2906E+4,8.3011E+4,8.5786E+4
sp|Q8NBL1|PGLT1_HUMAN,Protein O-glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=POGLUT1 PE=1 SV=1,POGLUT1,9.3414E+4,8.8464E+4,6.7407E+4
sp|Q8WVR3|TPC14_HUMAN,Trafficking protein particle complex subunit 14 OS=Homo sapiens OX=9606 GN=TRAPPC14 PE=1 SV=2,TRAPPC14,2.4488E+4,1.7896E+4,3.7685E+4
sp|Q92519|TRIB2_HUMAN,Tribbles homolog 2 OS=Homo sapiens OX=9606 GN=TRIB2 PE=1 SV=1,TRIB2,1.4100E+4,#N/A,#N/A
sp|Q96EM0|T3HPD_HUMAN,Trans-3-hydroxy-L-proline dehydratase OS=Homo sapiens OX=9606 GN=L3HYPDH PE=1 SV=2,L3HYPDH,1.5067E+5,1.8140E+5,1.5365E+5
sp|Q96GG9|DCNL1_HUMAN,DCN1-like protein 1 OS=Homo sapiens OX=9606 GN=DCUN1D1 PE=1 SV=1,DCUN1D1,4.2968E+4,3.9592E+4,4.1212E+4
sp|Q96PC5|MIA2_HUMAN,Melanoma inhibitory activity protein 2 OS=Homo sapiens OX=9606 GN=MIA2 PE=1 SV=4,MIA2,9.2183E+4,1.0638E+5,1.0428E+5
sp|Q99543|DNJC2_HUMAN,DnaJ homolog subfamily C member 2 OS=Homo sapiens OX=9606 GN=DNAJC2 PE=1 SV=4,DNAJC2,1.3333E+4,1.9105E+4,1.2794E+4
sp|Q9BRP1|PDD2L_HUMAN,Programmed cell death protein 2-like OS=Homo sapiens OX=9606 GN=PDCD2L PE=1 SV=1,PDCD2L,5.8989E+4,2.0338E+5,5.0703E+4
sp|Q9NQ89|FERY3_HUMAN,Ferry endosomal RAB5 effector complex subunit 3 OS=Homo sapiens OX=9606 GN=FERRY3 PE=1 SV=1,FERRY3,4.0653E+3,8.9346E+3,2.5777E+3
sp|Q9NQ92|COPRS_HUMAN,Coordinator of PRMT5 and differentiation stimulator OS=Homo sapiens OX=9606 GN=COPRS PE=1 SV=3,COPRS,2.6646E+4,2.2554E+4,#N/A
sp|Q9NRW7|VPS45_HUMAN,Vacuolar protein sorting-associated protein 45 OS=Homo sapiens OX=9606 GN=VPS45 PE=1 SV=1,VPS45,2.8466E+5,3.2726E+5,3.2260E+5
sp|Q9UJZ1|STML2_HUMAN,"Stomatin-like protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=STOML2 PE=1 SV=1",STOML2,2.8306E+5,2.9053E+5,2.7832E+5
sp|Q9Y2G2|CARD8_HUMAN,Caspase recruitment domain-containing protein 8 OS=Homo sapiens OX=9606 GN=CARD8 PE=1 SV=2,CARD8,5.2898E+3,6.2738E+3,4.8450E+3
sp|Q9Y385|UB2J1_HUMAN,Ubiquitin-conjugating enzyme E2 J1 OS=Homo sapiens OX=9606 GN=UBE2J1 PE=1 SV=2,UBE2J1,3.5688E+5,3.5197E+5,4.0406E+5
sp|A0M8Q6|IGLC7_HUMAN,Immunoglobulin lambda constant 7 OS=Homo sapiens OX=9606 GN=IGLC7 PE=1 SV=3,IGLC7,6.1839E+7,6.5550E+7,6.7381E+7
sp|O75888|TNF13_HUMAN,Tumor necrosis factor ligand superfamily member 13 OS=Homo sapiens OX=9606 GN=TNFSF13 PE=1 SV=1,TNFSF13,4.7999E+4,4.4913E+4,3.6764E+4
sp|P00915|CAH1_HUMAN,Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2,CA1,2.4936E+5,2.6682E+5,2.2898E+5
sp|P01705|LV223_HUMAN,Immunoglobulin lambda variable 2-23 OS=Homo sapiens OX=9606 GN=IGLV2-23 PE=1 SV=2,IGLV2-23,3.8654E+5,3.8138E+5,4.2005E+5
sp|P03950|ANGI_HUMAN,Angiogenin OS=Homo sapiens OX=9606 GN=ANG PE=1 SV=1,ANG,1.5227E+5,1.4737E+5,1.2273E+5
sp|P07902|GALT_HUMAN,Galactose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=GALT PE=1 SV=3,GALT,1.2515E+5,1.4699E+5,1.4629E+5
sp|P42704|LPPRC_HUMAN,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",LRPPRC,7.3691E+5,7.3532E+5,7.8388E+5
sp|P61764|STXB1_HUMAN,Syntaxin-binding protein 1 OS=Homo sapiens OX=9606 GN=STXBP1 PE=1 SV=1,STXBP1,5.1513E+5,4.4604E+5,1.3938E+4
sp|Q12882|DPYD_HUMAN,Dihydropyrimidine dehydrogenase [NADP(+)] OS=Homo sapiens OX=9606 GN=DPYD PE=1 SV=2,DPYD,1.7640E+5,1.7300E+5,1.9263E+5
sp|Q14789|GOGB1_HUMAN,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,GOLGB1,2.9032E+5,2.8236E+5,2.8730E+5
sp|Q15642|CIP4_HUMAN,Cdc42-interacting protein 4 OS=Homo sapiens OX=9606 GN=TRIP10 PE=1 SV=3,TRIP10,8.8297E+5,8.7826E+5,8.5429E+5
sp|Q6ZRI6|CO039_HUMAN,Uncharacterized protein C15orf39 OS=Homo sapiens OX=9606 GN=C15orf39 PE=1 SV=3,C15orf39,#N/A,2.1967E+3,2.6267E+3
sp|Q6ZWT7|MBOA2_HUMAN,Lysophospholipid acyltransferase 2 OS=Homo sapiens OX=9606 GN=MBOAT2 PE=1 SV=2,MBOAT2,7.9519E+4,9.6865E+4,9.5464E+4
sp|Q96AX1|VP33A_HUMAN,Vacuolar protein sorting-associated protein 33A OS=Homo sapiens OX=9606 GN=VPS33A PE=1 SV=1,VPS33A,1.6775E+4,1.8490E+4,7.9394E+3
sp|Q9BZ67|FRMD8_HUMAN,FERM domain-containing protein 8 OS=Homo sapiens OX=9606 GN=FRMD8 PE=1 SV=1,FRMD8,1.4370E+5,1.5297E+5,1.5368E+5
sp|Q9H2J4|PDCL3_HUMAN,Phosducin-like protein 3 OS=Homo sapiens OX=9606 GN=PDCL3 PE=1 SV=1,PDCL3,4.0729E+4,4.6126E+4,4.0257E+4
sp|Q9H8L6|MMRN2_HUMAN,Multimerin-2 OS=Homo sapiens OX=9606 GN=MMRN2 PE=1 SV=2,MMRN2,5.3954E+4,6.0136E+4,4.7455E+4
