Protein,Protein Description,Protein Gene,Actis_MixA_01 Sum Normalized Area,Actis_MixA_02 Sum Normalized Area,Actis_MixA_03 Sum Normalized Area,Actis_MixB_01 Sum Normalized Area,Actis_MixB_02 Sum Normalized Area,Actis_MixB_03 Sum Normalized Area,Actis_MixC_01 Sum Normalized Area,Actis_MixC_02 Sum Normalized Area,Actis_MixC_03 Sum Normalized Area,Actis_MixD_01 Sum Normalized Area,Actis_MixD_02 Sum Normalized Area,Actis_MixD_03 Sum Normalized Area,Actis_MixE_01 Sum Normalized Area,Actis_MixE_02 Sum Normalized Area,Actis_MixE_03 Sum Normalized Area,Actis_MixF_01 Sum Normalized Area,Actis_MixF_02 Sum Normalized Area,Actis_MixF_03 Sum Normalized Area,Actis_MixG_01 Sum Normalized Area,Actis_MixG_02 Sum Normalized Area,Actis_MixG_03 Sum Normalized Area,Actis_MixH_01 Sum Normalized Area,Actis_MixH_02 Sum Normalized Area,Actis_MixH_03 Sum Normalized Area,Actis_MixI_01 Sum Normalized Area,Actis_MixI_02 Sum Normalized Area,Actis_MixI_03 Sum Normalized Area,Actis_MixJ_01 Sum Normalized Area,Actis_MixJ_02 Sum Normalized Area,Actis_MixJ_03 Sum Normalized Area,Actis_MixK_01 Sum Normalized Area,Actis_MixK_02 Sum Normalized Area,Actis_MixK_03 Sum Normalized Area,Actis_MixL_01 Sum Normalized Area,Actis_MixL_02 Sum Normalized Area,Actis_MixL_03 Sum Normalized Area,Actis_MixM_01 Sum Normalized Area,Actis_MixM_02 Sum Normalized Area,Actis_MixM_03 Sum Normalized Area,Actis_MixN_01 Sum Normalized Area,Actis_MixN_02 Sum Normalized Area,Actis_MixN_03 Sum Normalized Area
sp|P54727|RD23B_HUMAN,UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1,RAD23B,2.7912E+5,2.3563E+5,2.4730E+5,1.8539E+5,1.7539E+5,1.7672E+5,1.5635E+5,1.5849E+5,1.4486E+5,9.0157E+4,9.2545E+4,7.2399E+4,5.1742E+4,3.3553E+4,3.7679E+4,2.8671E+4,1.4278E+4,2.8643E+4,6.3521E+3,1.3829E+4,1.0168E+4,#N/A,#N/A,5.6987E+3,#N/A,#N/A,4.7490E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P61073|CXCR4_HUMAN,C-X-C chemokine receptor type 4 OS=Homo sapiens OX=9606 GN=CXCR4 PE=1 SV=1,CXCR4,2.0964E+5,1.6525E+5,1.6109E+5,1.5608E+5,1.2019E+5,9.3529E+4,8.2438E+4,6.8416E+4,8.0871E+4,5.1031E+4,3.7840E+4,4.1745E+4,1.0063E+4,1.0195E+4,1.0741E+4,1.2959E+4,1.5371E+4,5.6633E+3,#N/A,9.5590E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q01469|FABP5_HUMAN,Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3,FABP5,6.9273E+5,5.3431E+5,5.6369E+5,4.4668E+5,3.6790E+5,3.9351E+5,3.5692E+5,2.8984E+5,2.3995E+5,2.1564E+5,1.8789E+5,1.6665E+5,5.0876E+4,4.2053E+4,3.0129E+4,4.2339E+4,3.3831E+4,3.5947E+4,1.9945E+4,2.1236E+4,2.3402E+4,2.5611E+4,1.8026E+4,2.1893E+4,#N/A,#N/A,#N/A,4.3705E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q13546|RIPK1_HUMAN,Receptor-interacting serine/threonine-protein kinase 1 OS=Homo sapiens OX=9606 GN=RIPK1 PE=1 SV=3,RIPK1,1.8898E+5,5.4128E+5,1.4165E+5,4.7255E+5,4.2244E+5,1.6052E+5,1.4369E+5,1.2253E+5,1.4681E+5,9.4227E+4,8.0959E+4,8.1124E+4,7.5753E+3,#N/A,#N/A,3.0504E+3,#N/A,1.5222E+3,1.4711E+3,#N/A,#N/A,5.2159E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q5SW96|ARH_HUMAN,Low density lipoprotein receptor adapter protein 1 OS=Homo sapiens OX=9606 GN=LDLRAP1 PE=1 SV=3,LDLRAP1,3.7819E+5,2.7208E+5,2.4675E+5,2.2954E+5,2.0313E+5,2.2079E+5,1.6002E+5,1.6345E+5,1.3031E+5,1.1303E+5,7.5435E+4,8.1746E+4,1.4403E+4,9.1166E+3,1.1931E+4,1.1794E+4,5.3286E+3,6.3426E+3,1.1283E+4,7.9409E+3,3.4857E+3,3.4915E+3,#N/A,6.2958E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8IY26|PLPP6_HUMAN,Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6 OS=Homo sapiens OX=9606 GN=PLPP6 PE=1 SV=3,PLPP6,3.6995E+4,4.2954E+4,3.6310E+4,3.9978E+4,2.4484E+4,2.6970E+4,2.3728E+4,1.9344E+4,1.5499E+4,2.3862E+4,8.5658E+3,6.0247E+3,#N/A,#N/A,#N/A,#N/A,2.9646E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8IZP0|ABI1_HUMAN,Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4,ABI1,1.0548E+6,8.6213E+5,8.6909E+5,8.3351E+5,6.4156E+5,6.3278E+5,6.0589E+5,4.6148E+5,4.6156E+5,4.4206E+5,2.8829E+5,3.4176E+5,1.4411E+5,1.2458E+5,1.1537E+5,1.0623E+5,8.9503E+4,8.3924E+4,8.2156E+4,7.2350E+4,6.3586E+4,4.9021E+4,5.0719E+4,3.2301E+4,2.1663E+4,1.9420E+4,6.8942E+3,2.4328E+4,#N/A,1.5167E+4,2.8779E+4,1.7132E+4,2.0256E+4,1.5100E+4,#N/A,1.1030E+4,3.1322E+4,1.1434E+4,1.2698E+4,2.1398E+4,#N/A,#N/A
sp|Q8NFF5|FAD1_HUMAN,FAD synthase OS=Homo sapiens OX=9606 GN=FLAD1 PE=1 SV=1,FLAD1,1.9961E+5,1.7816E+5,1.9703E+5,1.6013E+5,1.2177E+5,1.2290E+5,9.5491E+4,1.0781E+5,8.1634E+4,3.4513E+4,5.9874E+4,3.4066E+4,#N/A,1.4450E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96A33|CCD47_HUMAN,PAT complex subunit CCDC47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1,CCDC47,1.5994E+5,1.9133E+5,1.1748E+5,2.1021E+5,1.1282E+5,1.3530E+5,1.1433E+5,8.8662E+4,1.0041E+5,6.9116E+4,4.5017E+4,3.9581E+4,2.4188E+4,2.0550E+4,1.3950E+4,3.2991E+3,4.3605E+3,3.2174E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96L92|SNX27_HUMAN,Sorting nexin-27 OS=Homo sapiens OX=9606 GN=SNX27 PE=1 SV=2,SNX27,2.2219E+4,2.2915E+4,1.4235E+4,2.1206E+4,2.4447E+4,1.3257E+4,1.9990E+4,1.1857E+4,1.1909E+4,1.0806E+4,1.0117E+4,5.5724E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q99983|OMD_HUMAN,Osteomodulin OS=Homo sapiens OX=9606 GN=OMD PE=1 SV=1,OMD,1.4786E+6,1.3023E+6,1.3088E+6,1.1035E+6,9.4551E+5,8.4425E+5,7.9170E+5,6.8340E+5,6.3291E+5,4.7886E+5,4.0550E+5,3.6475E+5,2.2016E+5,1.2492E+5,1.1705E+5,1.0366E+5,1.3538E+5,6.6231E+4,7.5151E+4,4.5302E+4,4.7837E+4,1.1041E+5,5.1096E+4,1.0511E+4,7.8623E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H0P0|5NT3A_HUMAN,Cytosolic 5'-nucleotidase 3A OS=Homo sapiens OX=9606 GN=NT5C3A PE=1 SV=3,NT5C3A,6.0143E+5,4.7561E+5,4.2263E+5,3.9474E+5,3.4036E+5,2.8042E+5,3.3145E+5,2.0815E+5,2.3623E+5,1.6865E+5,1.1319E+5,1.3395E+5,4.1335E+4,3.9665E+4,2.0573E+4,1.1926E+4,1.2566E+4,1.2690E+4,1.0796E+4,#N/A,5.5018E+3,4.1216E+3,4.6254E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H9P8|L2HDH_HUMAN,"L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=L2HGDH PE=1 SV=3",L2HGDH,1.9256E+5,1.6285E+5,1.5668E+5,1.1354E+5,9.6501E+4,9.4264E+4,4.8374E+4,8.7942E+4,3.2184E+4,2.1653E+4,1.7488E+4,1.7506E+4,#N/A,#N/A,1.1732E+3,#N/A,#N/A,1.7350E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NRA8|4ET_HUMAN,Eukaryotic translation initiation factor 4E transporter OS=Homo sapiens OX=9606 GN=EIF4ENIF1 PE=1 SV=2,EIF4ENIF1,1.7155E+4,1.8437E+4,8.7559E+3,1.9541E+4,1.0835E+4,7.8529E+3,7.2318E+3,5.7048E+3,5.1922E+3,2.0434E+3,2.4457E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NRG1|PRDC1_HUMAN,Phosphoribosyltransferase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PRTFDC1 PE=1 SV=1,PRTFDC1,3.1426E+5,2.6520E+5,2.5400E+5,2.2082E+5,1.4472E+5,1.3317E+5,1.1984E+5,1.2389E+5,1.4722E+5,1.0168E+5,8.7507E+4,1.2070E+5,9.8439E+2,#N/A,1.3318E+3,#N/A,#N/A,#N/A,#N/A,#N/A,1.0306E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y576|ASB1_HUMAN,Ankyrin repeat and SOCS box protein 1 OS=Homo sapiens OX=9606 GN=ASB1 PE=1 SV=1,ASB1,3.9965E+4,4.1000E+4,3.8219E+4,2.5607E+4,2.5360E+4,3.3259E+4,3.0303E+4,2.6562E+4,3.1775E+4,3.6131E+4,2.7313E+4,2.4334E+4,#N/A,#N/A,2.0863E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O14980|XPO1_HUMAN,Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1,XPO1,1.5237E+5,1.5451E+5,1.3068E+5,1.1855E+5,1.1844E+5,1.0093E+5,9.0479E+4,8.9216E+4,8.4361E+4,6.5735E+4,6.0174E+4,6.1064E+4,2.1550E+4,1.8599E+4,1.2926E+4,4.5316E+3,5.2676E+3,1.4805E+4,9.8050E+3,#N/A,#N/A,3.7902E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O60669|MOT2_HUMAN,Monocarboxylate transporter 2 OS=Homo sapiens OX=9606 GN=SLC16A7 PE=1 SV=2,SLC16A7,8.1418E+4,7.8518E+4,7.7004E+4,7.2414E+4,6.3025E+4,4.9078E+4,4.2374E+4,4.4172E+4,3.4608E+4,3.1852E+4,2.4322E+4,1.8829E+4,5.9989E+3,2.8737E+3,8.6717E+3,#N/A,1.9230E+3,2.6741E+3,7.7694E+3,1.7093E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O60841|IF2P_HUMAN,Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4,EIF5B,1.6200E+5,1.5181E+5,1.0710E+5,1.3272E+5,8.7823E+4,8.7323E+4,6.0001E+4,7.4049E+4,6.5081E+4,4.9518E+4,3.9747E+4,4.0569E+4,4.6716E+3,1.6506E+4,2.7293E+2,#N/A,#N/A,#N/A,#N/A,3.9875E+3,#N/A,#N/A,#N/A,2.7197E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O95336|6PGL_HUMAN,6-phosphogluconolactonase OS=Homo sapiens OX=9606 GN=PGLS PE=1 SV=2,PGLS,2.4935E+6,2.2702E+6,2.2335E+6,1.8443E+6,1.3656E+6,1.5500E+6,1.5268E+6,1.2258E+6,9.9715E+5,8.3902E+5,8.1184E+5,7.4616E+5,3.3668E+5,1.7206E+5,2.0062E+5,2.4598E+5,1.3053E+5,1.1144E+5,1.1218E+5,1.0224E+5,4.6909E+4,2.6780E+4,8.3361E+3,1.7463E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P02655|APOC2_HUMAN,Apolipoprotein C-II OS=Homo sapiens OX=9606 GN=APOC2 PE=1 SV=1,APOC2,5.8907E+7,4.3237E+7,5.1412E+7,4.5926E+7,2.6955E+7,2.4177E+7,2.3046E+7,1.7153E+7,1.8814E+7,1.3796E+7,1.1505E+7,1.2139E+7,4.5921E+6,3.7897E+6,3.7057E+6,4.2314E+6,3.0464E+6,1.7173E+6,2.2470E+6,2.0391E+6,2.1214E+6,1.5504E+6,7.6743E+5,1.2732E+6,5.2715E+5,4.0884E+5,2.6550E+5,3.6515E+5,2.1256E+5,2.7636E+5,1.4015E+5,1.2916E+5,2.1660E+5,1.9158E+5,1.3941E+5,6.9928E+4,9.3402E+4,1.6579E+4,3.0258E+4,#N/A,#N/A,#N/A
sp|P08238|HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,HSP90AB1,6.1615E+6,5.3134E+6,5.2702E+6,4.6346E+6,3.8524E+6,4.0905E+6,3.6002E+6,3.0488E+6,2.8078E+6,2.0946E+6,1.8481E+6,1.7248E+6,7.5087E+5,6.5908E+5,5.7459E+5,5.9002E+5,4.0662E+5,4.3415E+5,3.1944E+5,4.0026E+5,3.4553E+5,2.6095E+5,1.8527E+5,1.7697E+5,4.0520E+4,4.1273E+4,3.1423E+4,5.3754E+4,2.6467E+4,2.3477E+4,1.9220E+4,4.2964E+4,#N/A,#N/A,1.5346E+4,1.7802E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P27105|STOM_HUMAN,Stomatin OS=Homo sapiens OX=9606 GN=STOM PE=1 SV=3,STOM,1.4363E+7,1.3346E+7,1.3731E+7,1.1481E+7,1.0109E+7,1.0001E+7,8.7353E+6,7.4107E+6,7.3190E+6,5.0455E+6,4.7224E+6,4.4920E+6,1.6887E+6,1.6360E+6,1.4246E+6,1.2372E+6,1.0981E+6,1.0037E+6,9.4915E+5,8.7933E+5,8.3626E+5,5.1089E+5,4.7106E+5,4.8355E+5,1.8406E+5,1.4744E+5,2.7603E+5,1.6898E+5,1.1421E+5,1.0758E+5,9.4927E+4,6.0501E+4,9.9638E+4,6.4189E+4,3.9064E+4,3.7289E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P41250|GARS_HUMAN,Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,GARS1,9.0342E+5,7.6441E+5,7.5213E+5,6.3793E+5,6.0509E+5,6.0615E+5,4.7067E+5,4.2354E+5,3.3426E+5,3.5343E+5,2.6327E+5,3.7445E+5,3.7130E+4,4.3301E+4,4.6354E+4,1.0139E+5,3.1099E+4,2.7001E+4,8.2969E+3,2.4197E+4,1.1974E+4,7.0349E+3,5.5252E+3,6.9944E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P49789|FHIT_HUMAN,Bis(5'-adenosyl)-triphosphatase OS=Homo sapiens OX=9606 GN=FHIT PE=1 SV=3,FHIT,2.7598E+4,1.1821E+4,1.0376E+4,3.5152E+3,1.4459E+3,#N/A,#N/A,4.2956E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q00765|REEP5_HUMAN,Receptor expression-enhancing protein 5 OS=Homo sapiens OX=9606 GN=REEP5 PE=1 SV=3,REEP5,3.4102E+5,3.1737E+5,3.3462E+5,3.0242E+5,2.4139E+5,2.3885E+5,1.9516E+5,1.7464E+5,1.7966E+5,1.5453E+5,1.1189E+5,7.6710E+4,4.5183E+4,2.9178E+4,4.0542E+4,3.3975E+4,2.8295E+4,2.9924E+4,2.5689E+4,1.3112E+4,1.3085E+4,1.7426E+4,3.3047E+3,5.8866E+3,2.9564E+3,#N/A,2.7472E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15181|IPYR_HUMAN,Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2,PPA1,2.5659E+5,1.8760E+5,1.8484E+5,1.5022E+5,1.3457E+5,1.2871E+5,1.2452E+5,1.2162E+5,9.2985E+4,8.1992E+4,6.2685E+4,6.3387E+4,#N/A,1.2249E+4,2.0848E+3,5.3768E+3,5.4198E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q7Z6K5|ARPIN_HUMAN,Arpin OS=Homo sapiens OX=9606 GN=ARPIN PE=1 SV=1,ARPIN,2.4028E+4,3.1070E+4,3.7010E+4,1.0398E+4,4.9619E+4,1.2144E+4,#N/A,3.3334E+4,2.9166E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.4514E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8N0X4|CLYBL_HUMAN,"Citramalyl-CoA lyase, mitochondrial OS=Homo sapiens OX=9606 GN=CLYBL PE=1 SV=2",CLYBL,8.3771E+3,3.9048E+3,2.9533E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8N2U9|S66A2_HUMAN,Solute carrier family 66 member 2 OS=Homo sapiens OX=9606 GN=SLC66A2 PE=1 SV=1,SLC66A2,2.0742E+4,2.2630E+4,2.5405E+4,2.4711E+4,1.0449E+4,1.6921E+4,7.9176E+3,5.1814E+3,9.7779E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.9320E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8NBZ7|UXS1_HUMAN,UDP-glucuronic acid decarboxylase 1 OS=Homo sapiens OX=9606 GN=UXS1 PE=1 SV=1,UXS1,1.2760E+5,1.3628E+5,1.1355E+5,1.0499E+5,8.5941E+4,7.4334E+4,6.9713E+4,6.1438E+4,4.6248E+4,3.8140E+4,3.1272E+4,3.5695E+4,5.7107E+3,1.0864E+4,6.2503E+3,#N/A,1.0887E+4,#N/A,#N/A,5.1659E+3,2.4958E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8WUJ1|NEUFC_HUMAN,Neuferricin OS=Homo sapiens OX=9606 GN=CYB5D2 PE=1 SV=1,CYB5D2,6.0867E+3,8.1252E+3,5.1869E+3,3.9271E+3,6.6878E+3,#N/A,#N/A,6.1205E+3,4.0350E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96HJ9|FMC1_HUMAN,Protein FMC1 homolog OS=Homo sapiens OX=9606 GN=FMC1 PE=1 SV=2,FMC1,9.2757E+3,5.1192E+3,6.0666E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96NZ9|PRAP1_HUMAN,Proline-rich acidic protein 1 OS=Homo sapiens OX=9606 GN=PRAP1 PE=1 SV=2,PRAP1,1.1269E+5,7.7679E+4,8.6712E+4,8.7118E+4,6.2987E+4,6.0790E+4,6.0638E+4,4.1678E+4,4.2614E+4,4.2342E+4,2.0171E+4,3.5075E+4,1.3135E+3,2.7126E+3,4.3392E+3,4.7728E+2,1.7948E+3,1.0758E+3,1.6820E+3,1.0045E+3,1.7124E+3,8.2605E+2,2.6934E+2,2.9412E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BZW5|TM6S1_HUMAN,Transmembrane 6 superfamily member 1 OS=Homo sapiens OX=9606 GN=TM6SF1 PE=1 SV=2,TM6SF1,1.1444E+5,9.3745E+4,9.9168E+4,7.3453E+4,7.1665E+4,5.9824E+4,7.0725E+4,4.5751E+4,3.8435E+4,2.3716E+4,1.8471E+4,3.0862E+4,6.1535E+3,2.9884E+3,4.4425E+3,4.2213E+3,3.4945E+3,1.6920E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H330|TM245_HUMAN,Transmembrane protein 245 OS=Homo sapiens OX=9606 GN=TMEM245 PE=1 SV=3,TMEM245,6.5831E+4,5.5451E+4,4.9412E+4,3.6354E+4,4.5195E+4,3.4235E+4,4.8176E+4,2.3499E+4,3.1723E+4,1.0345E+4,1.2619E+4,7.4688E+3,1.8800E+3,#N/A,3.4581E+3,4.3790E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.1234E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H6S0|YTDC2_HUMAN,3'-5' RNA helicase YTHDC2 OS=Homo sapiens OX=9606 GN=YTHDC2 PE=1 SV=2,YTHDC2,1.4610E+5,1.1575E+5,1.1283E+5,7.6186E+4,5.9255E+4,4.9226E+4,7.2076E+4,4.6302E+4,3.0856E+4,1.0466E+4,#N/A,3.5412E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H6U6|BCAS3_HUMAN,BCAS3 microtubule associated cell migration factor OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=3,BCAS3,5.0364E+4,8.1761E+4,6.3039E+4,2.9087E+4,3.6350E+4,5.9023E+4,1.9450E+4,3.2389E+4,4.6556E+4,1.2096E+4,#N/A,6.9065E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
